comp,E_alloy_per_atom,dH_form
Ru0Ni0Co0Fe0Cu100,-4.084821191756907,-2.894885042792339e-08
Ru0Ni0Co0Fe100Cu0,-8.38042439196008,0.010438478712597288
Ru0Ni0Co100Fe0Cu0,-7.071683169896032,0.012708222489470344
Ru0Ni100Co0Fe0Cu0,-5.731894320949844,2.9491740898279772e-06
Ru100Ni0Co0Fe0Cu0,-9.210529896695897,0.0340702707360947
Ru10Ni12Co13Fe47Cu19,-7.086956907938013,0.09384714800112093
Ru11Ni34Co22Fe12Cu20,-6.367437401107112,0.049261908261830634
Ru11Ni8Co33Fe21Cu28,-6.557602425798396,0.09050678248463839
Ru13Ni14Co29Fe36Cu8,-7.324811803628153,0.06858051863189285
Ru13Ni36Co11Fe30Cu10,-6.918713506448695,0.03615748355448378
Ru13Ni41Co23Fe8Cu15,-6.381815996288973,0.0678797464358265
Ru14Ni25Co6Fe28Cu28,-6.493442670178231,0.08803835134747295
Ru18Ni46Co9Fe19Cu9,-6.8000489889035665,0.03903157181149641
Ru24Ni7Co39Fe11Cu19,-6.939475089006471,0.14640819516485237
Ru26Ni14Co13Fe35Cu12,-7.444265149022106,0.11469305572739152
Ru32Ni16Co23Fe21Cu7,-7.4966431855403926,0.11555498271136155
Ru36Ni31Co10Fe6Cu17,-6.843939346296239,0.1626915464836971
Ru42Ni35Co9Fe10Cu5,-7.359533775879858,0.13503884037130742
Ru66Ni14Co7Fe7Cu6,-8.045474498217501,0.1809633227456544
Ru6Ni36Co16Fe35Cu7,-6.96394349071609,0.010947162136745625
Ru6Ni41Co30Fe9Cu14,-6.322510712193365,0.036073303850896465
Ru7Ni46Co12Fe29Cu7,-6.772985919156591,0.012419798688942052
Ru7Ni49Co27Fe5Cu13,-6.202158993052132,0.05139922250242268
Ru7Ni9Co15Fe48Cu20,-7.105321531171367,0.014530307503706652
Ru8Ni25Co31Fe10Cu26,-6.185224031398564,0.07337294454335197
