comp,comp_idx,cfg,site_idx,site_type,local_env,act_site_type,act_local_env,h_height,d_xy,E_slab,E_slabH,E_ads
Ru100Ni0Co0Fe0Cu0,0,0,0,fcc,Ru-Ru-Ru,fcc,Ru-Ru-Ru,1.041,0.0,-673.7555,-677.9973,-0.9795
Ru100Ni0Co0Fe0Cu0,0,0,1,top,Ru,top,Ru,1.621,0.0,-673.7555,-677.0957,-0.0779
Ru100Ni0Co0Fe0Cu0,0,0,2,bridge,Ru-Ru,bridge,Ru-Ru,1.162,0.002,-673.7555,-677.9228,-0.9051
Ru100Ni0Co0Fe0Cu0,0,0,3,bridge,Ru-Ru,bridge,Ru-Ru,1.162,0.002,-673.7555,-677.9228,-0.9051
Ru100Ni0Co0Fe0Cu0,0,0,4,hcp,Ru-Ru-Ru,hcp,Ru-Ru-Ru,1.023,0.0,-673.7555,-678.0356,-1.0179
Ru100Ni0Co0Fe0Cu0,0,0,5,bridge,Ru-Ru,bridge,Ru-Ru,1.162,0.002,-673.7555,-677.9228,-0.9051
Ru100Ni0Co0Fe0Cu0,0,0,6,hcp,Ru-Ru-Ru,hcp,Ru-Ru-Ru,1.023,0.0,-673.7555,-678.0356,-1.0179
Ru100Ni0Co0Fe0Cu0,0,0,7,bridge,Ru-Ru,bridge,Ru-Ru,1.162,0.002,-673.7555,-677.9228,-0.9051
Ru100Ni0Co0Fe0Cu0,0,0,8,top,Ru,top,Ru,1.621,0.0,-673.7555,-677.0957,-0.0779
Ru100Ni0Co0Fe0Cu0,0,0,9,bridge,Ru-Ru,bridge,Ru-Ru,1.162,0.002,-673.7555,-677.9228,-0.9051
Ru100Ni0Co0Fe0Cu0,0,1,0,bridge,Ru-Ru,bridge,Ru-Ru,1.162,0.002,-673.7555,-677.9228,-0.9051
Ru100Ni0Co0Fe0Cu0,0,1,1,hcp,Ru-Ru-Ru,hcp,Ru-Ru-Ru,1.023,0.0,-673.7555,-678.0356,-1.0179
